,question,answer,paragraph_text,pnumber,law_name
10,,,"Tages administrationsboet under konkursbehandling, behandles boet i overensstemmelse med konkurslovens regler, jf. dog stk. 2. Aktiverne i administrationsboet, herunder finansielle instrumenter, opgjort efter fradrag af udgifter til administrator anvendes i lige forhold til betaling af krav fra indehaverne af de særligt dækkede obligationer, modparter på de finansielle instrumenter, som de registrerede aktiver og aftaler ligger til grund for, indehavere af eventuelle refinansieringsobligationer udstedt af administrator i medfør af § 247 h, stk. 1, og dækning af lån, som administrationsboet har optaget i medfør af § 247 h, stk. 2.",247 i,LBK nr 1013 af 21/08/2024
11,,,"Styrelsen for Patientsikkerhed kan efter ansøgning give en person, der har fået frataget sin autorisation efter § 7 b eller indskrænket sit virksomhedsområde efter § 8 a, tilladelse til at generhverve autorisationen eller få ophævet indskrænkningen af virksomhedsområdet. En person kan forlange Styrelsen for Patientsikkerheds afslag på generhvervelse af autorisationen eller ophævelse af indskrænkningen af virksomhedsområde efter stk. 1 indbragt for domstolene. Begæring om domstolsprøvelse efter stk. 2 skal fremsættes over for Styrelsen for Patientsikkerhed, senest 3 uger efter at afgørelsen efter stk. 1 er meddelt den pågældende.",11 c,LBK nr 1008 af 29/08/2024
12,,,"Ved forurenet jord forstås jord, der på grund af menneskelig påvirkning kan have skadelig virkning på grundvand, menneskers sundhed og miljøet i øvrigt.",83 c,LBK nr 928 af 28/06/2024
13,,,"Virksomheder, der yder lån mod registreret pant i fast ejendom på grundlag af udstedelse af realkreditobligationer, skal have tilladelse som realkreditinstitut og tilladelse til at udstede realkreditobligationer. Realkreditinstitutter, der har tilladelse efter stk. 1, kan udøve de aktiviteter, som er nævnt i bilag 1, afsnit A, nr. 1 og 2, i lov om fondsmæglerselskaber og investeringsservice og –aktiviteter, for så vidt angår realkreditobligationer, særligt dækkede obligationer, særligt dækkede realkreditobligationer og heraf afledte instrumenter, og de aktiviteter, som er nævnt i bilagets afsnit A, nr. 3, samt de aktiviteter, som er nævnt i bilagets afsnit A, nr. 5, når investeringsrådgivningen sker i tilknytning til og som forudsætning for udførelse af kunders optagelse, indfrielse, refinansiering eller omlægning af et lån med pant i fast ejendom. Realkreditinstitutter og udenlandske kreditinstitutter, der opfylder betingelserne herfor i lov om realkreditlån og realkreditobligationer m.v., har eneret til at udstede realkreditobligationer. Andre finansielle instrumenter end realkreditobligationer må ikke bære denne betegnelse eller betegnelser, der er egnet til at fremkalde det indtryk, at de er realkreditobligationer. Realkreditinstitutter har eneret til at benytte betegnelser som »realkreditinstitut«, »realkreditaktieselskab«, »kreditforening« eller »realkreditfond« i deres navn. Realkreditinstitutter, der er omdannet til aktieselskaber, og som hidtil har benyttet betegnelser som »kreditforening«, »realkreditfond« eller »reallånefond« i deres navn, skal tilføje ordet »aktieselskab« eller deraf dannede forkortelser efter navnet. En virksomhed, der søger om tilladelse efter stk. 1, skal have en aktiekapital, der mindst udgør et beløb svarende til 5 mio. euro.",8,LBK nr 1013 af 21/08/2024
14,,,"Afgiftspligtige personer, der har et andet EU-land end Danmark som identifikationsmedlemsland, kan få tilbagebetalt moms efter reglerne i § 45, stk. 1.",66 f,LBK nr 209 af 27/02/2024
15,,,"Erklæres en deltager i et værdipapirafviklingssystem eller i et registreret betalingssystem eller i tilsvarende virksomhed udøvet af Danmarks Nationalbank konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling som defineret i artikel 2, litra j, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, fastlægges efter den lovgivning, som systemet er undergivet. Erklæres en dansk deltager i et udenlandsk værdipapirafviklingssystem eller i et betalingssystem, der er anmeldt til Den Europæiske Værdipapir- og Markedstilsynsmyndighed (ESMA) i medfør af artikel 10, stk. 1, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling som defineret i artikel 2, litra j, i Europa-Parlamentets og Rådets direktiv 98/26/EF af 19. maj 1998 om endelig afregning i betalingssystemer og værdipapirafviklingssystemer, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, fastlægges efter den lovgivning, som systemet er undergivet, jf. § 164, stk. 1, og § 169, stk. 1. Erklæres en dansk deltager i et udenlandsk værdipapirafviklingssystem eller i et betalingssystem, der ikke er omfattet af stk. 2, og som er hjemmehørende i et land uden for Den Europæiske Union, som Unionen ikke har indgået aftale med på det finansielle område, konkurs eller tages under rekonstruktionsbehandling eller anden form for insolvensbehandling, skal de rettigheder og forpligtelser, der følger af eller har forbindelse med den pågældendes deltagelse i systemet, og som ikke er omfattet af en godkendelse i henhold til § 164, stk. 2, eller § 169, stk. 2, fastlægges efter den lovgivning, som systemet er undergivet, hvis Finanstilsynet har godkendt aftalen mellem deltageren og systemet.",174,LBK nr 198 af 26/02/2024
16,,,"Klima-, energi- og forsyningsministeren kan fastsætte regler med henblik på at gennemføre eller anvende internationale konventioner og EU-regler om forhold, der er omfattet af denne lov, herunder forordninger, direktiver og beslutninger om naturbeskyttelse på dansk kontinentalsokkel, i dansk eksklusiv økonomisk zone og på dansk søterritorium.",1 a,LBK nr 200 af 27/02/2024
17,,,"Kommunalbestyrelsen fører generelt driftsorienteret tilsyn med egne tilbud efter § 83 og § 84, stk. 1, og med private tilbud efter § 83 og § 84, stk. 1. Tilsynet efter stk. 1 omfatter dog ikke tilbud, hvor en anden kommunalbestyrelse eller et regionsråd har indgået aftale om anvendelse af samtlige pladser i tilbuddet og om tilsyn. Kommunalbestyrelsen kan delegere sin kompetence efter stk. 1 til socialtilsynet, jf. § 3, stk. 1, nr. 2, i lov om socialtilsyn.",157,LBK nr 890 af 19/06/2024
18,,,"Indenrigs- og sundhedsministeren kan fastsætte regler om, at et regionsråd mod betaling kan tilbyde sygehusbehandling til personer, som ikke har ret til sygehusbehandling efter denne lov. Indenrigs- og sundhedsministeren kan fastsætte regler om, at et regionsråd mod betaling kan tilbyde behandlinger og ydelser på regionens sygehuse, herunder udlejning af lokaler og udstyr til offentlige myndigheder og private virksomheder. Et regionsråd kan samarbejde med offentlige myndigheder og private virksomheder, herunder i selskabsform, om løsningen af fælles opgaver efter afsnit VI, XI, XII og XIV-XVI og opgaver, der har tilknytning hertil, og som regionsrådet lovligt kan varetage efter anden lovgivning, samt påtage sig dermed forbundne udgifter, jf. dog stk. 4. Indenrigs- og sundhedsministeren kan fastsætte regler om, at samarbejder som nævnt i stk. 3, der medfører indskrænkninger i regionsrådets beføjelser, skal godkendes af ministeren, herunder om, at kravet om godkendelse alene gælder nærmere former for samarbejde. Et samarbejde, som efter regler fastsat i medfør af stk. 4 kræver godkendelse, anses for godkendt, medmindre regionsrådet modtager afslag på godkendelse, inden 1 måned efter at indenrigs- og sundhedsministeren har modtaget orientering fra regionsrådet om samarbejdet. Indenrigs- og sundhedsministeren kan fastsætte regler om proceduren for godkendelse i medfør af regler udstedt efter stk. 4, herunder om orientering af ministeren, om, hvilke oplysninger orienteringen skal indeholde, og om udsættelse af fristen, såfremt de nødvendige oplysninger ikke foreligger ved orienteringen. En kommunalbestyrelse kan deltage i samarbejder efter stk. 3, når samarbejdet tillige varetager opgaver, som kommunerne lovligt kan varetage. Et regionsråd kan efter indenrigs- og sundhedsministerens godkendelse påtage sig opgaver og dermed forbundne udgifter, som ikke er omfattet af denne lov, såfremt det har væsentlig betydning for varetagelsen af regionsrådets opgaver efter afsnit VI, XI, XII og XIV-XVI.",78,LBK nr 1015 af 05/09/2024
19,,,"Hvis et vejudlæg efter § 26, stk. 2, bevirker, at ejeren af et areal afskæres fra at udnytte arealet på en måde, der er økonomisk rimelig og forsvarlig under hensyn til ejendommens beliggenhed og øvrige beskaffenhed, og som svarer til den udnyttelse, der finder sted af andre tilgrænsende eller omliggende arealer, kan ejeren anmode kommunen om helt eller delvis at overtage arealet mod erstatning. En anmodning om overtagelse skal fremsættes, inden 6 måneder efter at ejeren har fået underretning om vejudlægget, eller, hvis dette er påklaget, inden 6 måneder efter at ejeren har modtaget afgørelse i klagesagen. Afslår kommunalbestyrelsen ejerens anmodning, eller opnås der ikke enighed om erstatningens størrelse, skal kommunalbestyrelsen indbringe sagen for de taksationsmyndigheder, der er nævnt i § 91.",38,LBK nr 1050 af 17/09/2024
20,,,"Undlader en operatør af en markedsplads, en central modpart (CCP), en værdipapircentral (CSD), en godkendt offentliggørelsesordning (APA) eller en godkendt indberetningsmekanisme (ARM), der er undtaget fra forordning (EU) nr. 600/2014 og underlagt tilladelse og tilsyn fra Finanstilsynet, et fondsmæglerselskab, et registreret betalingssystem, en it-operatør af et detailbetalingssystem, et kontoførende institut, en administrator eller stiller af benchmarks, en udsteder, en udbyder, en person, der anmoder om optagelse af værdipapirer til handel på et reguleret marked, en investor, en tilbudsgiver, en deltager på markedet for emissionskvoter, en positionstager, en repræsentant, en aktionær, en fysisk eller juridisk person, der udarbejder eller udbreder investeringsanbefalinger eller anden information, der anbefaler eller foreslår en investeringsstrategi, at efterkomme et påbud fra Finanstilsynet givet i medfør af § 220 eller afgiver urigtige eller vildledende oplysninger til Finanstilsynet, straffes med bøde, medmindre højere straf er forskyldt efter anden lovgivning. Med bøde straffes et bestyrelsesmedlem i en operatør af et reguleret marked eller i en it-operatør af et detailbetalingssystem, der ikke efterkommer et påbud, der er givet efter § 221, stk. 2 og 3 og stk. 4, 3. pkt. Giver en person, der er knyttet til en operatør af en markedsplads, en central modpart (CCP), en værdipapircentral (CSD), en godkendt offentliggørelsesordning (APA) eller en godkendt indberetningsmekanisme (ARM), der er undtaget fra forordning (EU) nr. 600/2014 og underlagt tilladelse og tilsyn fra Finanstilsynet, et fondsmæglerselskab, et registreret betalingssystem, en it-operatør af et detailbetalingssystem, et kontoførende institut, en administrator eller stiller af benchmarks, en udsteder, en udbyder, en person, der anmoder om optagelse af værdipapirer til handel på et reguleret marked, en investor, en tilbudsgiver, en deltager på markedet for emissionskvoter, en positionstager, en repræsentant, en aktionær eller en fysisk eller juridisk person, der udarbejder eller udbreder investeringsanbefalinger eller anden information, der anbefaler eller foreslår en investeringsstrategi, urigtige eller vildledende oplysninger til Finanstilsynet, Erhvervsstyrelsen, Danmarks Nationalbank eller anden offentlig myndighed, straffes den pågældende med bøde eller fængsel indtil 4 måneder, medmindre højere straf er forskyldt efter den øvrige lovgivning.",254,LBK nr 198 af 26/02/2024
21,,,"Ved brevforkyndelse anses meddelelsen for forkyndt, hvis genparten eller modtagelsesbeviset er underskrevet af den pågældende personligt.",156,LBK nr 250 af 04/03/2024
22,,,"I de tilfælde, der er nævnt i § 179, iværksættes retslægeligt ligsyn. Retslægeligt ligsyn kan dog undlades: ved dødsfald efter ulykkestilfælde, såfremt døden først er indtrådt nogen tid efter ulykken og politiet efter de tilvejebragte oplysninger finder det åbenbart, at dødsfaldet er uden politimæssig interesse, ved dødsfald efter ulykkestilfælde, såfremt døden først er indtrådt nogen tid efter ulykken og politiet efter de tilvejebragte oplysninger finder det åbenbart, at dødsfaldet er uden politimæssig interesse, ved de dødsfald, der er nævnt i § 179, stk. 1, nr. 2, 3, 5 og 6, såfremt der mellem politiet og Styrelsen for Patientsikkerhed er enighed om, at de tilvejebragte oplysninger gør det åbenbart, at der foreligger naturlig død, ved de dødsfald, der er nævnt i § 179, stk. 1, nr. 4, såfremt Styrelsen for Patientsikkerhed finder, at de tilvejebragte oplysninger med tilstrækkelig sikkerhed har klarlagt dødsårsagen, og ved andre dødsfald, der er kommet til politiets kundskab og er antaget at kunne have politimæssig interesse, såfremt politiet efter en undersøgelse finder det åbenbart, at der er tale om naturlig død.",180,LBK nr 1015 af 05/09/2024
23,,,"Klima-, energi- og forsyningsministeren kan bemyndige en under ministeriet oprettet institution, en anden myndighed, en virksomhed eller en anden sagkyndig institution eller organisation til at udøve de beføjelser, der i denne lov er tillagt ministeren.",19,LBK nr 1036 af 12/09/2024
24,,,"Børne- og undervisningsministeren kan videregive oplysninger om uddannelsesdeltageres deltagelse i uddannelse efter denne lov til arbejdsløshedskasser til brug for rådgivning af deres medlemmer i forhold til kompetenceudvikling. Børne- og undervisningsministeren fastsætter nærmere regler om, hvilke oplysninger der kan videregives efter stk. 1.",28 a,LBK nr 144 af 14/02/2024
25,,,"Ved hver skole ansættes en leder, jf. dog § 24, stk. 3, § 24 a, stk. 1, og § 24 b, stk. 1. Skolelederen leder og fordeler arbejdet mellem skolens ansatte og træffer alle konkrete beslutninger vedrørende skolens elever. Skolens leder udarbejder forslag til skolebestyrelsen om skolens læseplaner, jf. § 44, stk. 8, forslag vedrørende principper for skolens virksomhed m.v., jf. § 44, stk. 2, og forslag til skolens budget, jf. § 44, stk. 3, inden for de af kommunalbestyrelsen fastsatte økonomiske rammer, jf. § 40, stk. 2, nr. 1. I forbindelse med planlægningen af det kommende skoleår forelægger skolens leder det kommende skoleårs skemaer for undervisningen og rammerne for skiftende skemaer for skolebestyrelsen, med henblik på at skolebestyrelsen kan afgive en udtalelse herom. Skolens leder udøver sin virksomhed i samarbejde med de ansatte. Skolens leder inddrager skolens elever i spørgsmål vedrørende elevernes sikkerhed og sundhed.",45,LBK nr 989 af 27/08/2024
26,,,"Tiden for anbringelsen i anstalt, som ikke kan overstige 10 år, fastsættes i dommen. Begår den dømte ny lovovertrædelse under ophold i anstalt, fastsætter retten en samlet foranstaltning for dette forhold og for den tidligere pådømte lovovertrædelse, medmindre den anser den tidligere foranstaltning for tilstrækkelig. Stk. 2 finder tilsvarende anvendelse, hvis den dømte begår ny lovovertrædelse efter at være dømt til anbringelse i anstalt, men inden anbringelse i anstalt er iværksat.",147,LBK nr 1187 af 18/09/2023
27,,,"Opholdsregionen afholder udgifter til befordring eller befordringsgodtgørelse til sygehusbehandling efter reglerne i §§ 79-83 og 86, § 87, stk. 1-3, og §§ 89 og 89 a og til diagnostiske undersøgelser efter §§ 82a og 86, § 89, stk. 1, og § 89 a, når betingelserne herfor er opfyldt, jf. § 171. Bopælsregionen afholder udgifter til befordring og ophold i forbindelse med behandling efter § 88, stk. 1-3.",262,LBK nr 1015 af 05/09/2024
28,,,"Jobcenteret kan give tilbud om følgende: Virksomhedspraktik, jf. kapitel 11. Virksomhedspraktik, jf. kapitel 11. Ansættelse med løntilskud, jf. kapitel 12. Nytteindsats, jf. kapitel 13. Vejledning og opkvalificering, jf. kapitel 14. Tilbud kan gives hver for sig eller i kombination.",52,LBK nr 280 af 01/03/2024
29,,,"Justitsministeren fastsætter regler om, i hvilket omfang reglerne i inatsisartutlov om frihedsberøvelse og anden tvang i psykiatrien finder tilsvarende anvendelse på personer, der opholder sig på psykiatrisk afdeling i henhold til en retsafgørelse, som er truffet i kriminalretsplejens former.",263 a,LBK nr 1187 af 18/09/2023
30,,,"Finanstilsynets ansatte må ikke videregive oplysninger om en person, når vedkommende har indberettet en forvalter af alternative investeringsfonde eller en person til Finanstilsynet for overtrædelse eller potentiel overtrædelse af denne lov, regler udstedt i medfør heraf og bestemmelser indeholdt i Den Europæiske Unions forordninger for de områder af loven, som Finanstilsynet fører tilsyn med, jf. dog stk. 2. Bestemmelsen i stk. 1 er ikke til hinder for, at personoplysninger videregives i medfør af § 170, stk. 7. Alle, der i henhold til stk. 2 modtager personoplysninger, er med hensyn til disse oplysninger undergivet den i stk. 1 omhandlede tavshedspligt.",172 a,LBK nr 231 af 01/03/2024
